"location_id";"state";"district";"market"
"f3ca0b323a14302f9bb32d7fcdbb9ce3";"GUJARAT";"UNKNOWN";"JAM JODHPUR"
"6401a2d328cb54777b6fbf846ef157c3";"GUJARAT";"UNKNOWN";"JASDAN"
"f99c8b5e7635703fd2c9e49d4970e234";"UNKNOWN";"UNKNOWN";"JAMBUSAR"
"84cb3a3174bc0361f2af4e60e00a3247";"MADHYA PRADESH";"SHIVPURI";"KHATORA"
"13fe294c90886b089998ca37fdcc0491";"UNKNOWN";"UNKNOWN";"SOHNA"
"20096c4c48a9897912c476766f256e08";"HARYANA";"PANCHKULA";"RAIPUR RAI"
"d6e46d3488c7ea1a75068b042019e2f3";"UNKNOWN";"UNKNOWN";"JETPUR(DIST.RAJKOT)"
"320662b92a3f120a45d5087f31046ed6";"UNKNOWN";"GANGANAGAR";"KESARISINGHPUR"
"a4b77361afe415d7b9f142d18bdcdc03";"UNKNOWN";"ANGUL";"ANGUL"
"15cbff69f8f1de917d0a43714f0eee11";"MADHYA PRADESH";"ALIRAJPUR";"JOBAT"
"84b78f50c14912e154ed4bd8a30f8832";"UTTAR PRADESH";"PRAYAGRAJ";"ALLAHABAD"
"7862bfd2546ebd2f87125f4608bdd22a";"UTTAR PRADESH";"UNKNOWN";"BALRAMPUR"
"edd0afafc357173da311db205070ee1a";"MAHARASHTRA";"UNKNOWN";"SOLAPUR"
"3e63b3bc90aeff9f1f0d7f0f9b655bb6";"UTTAR PRADESH";"UNNAO";"UNNAO"
"e27adab62b66a9a811cd885c4ad349ae";"UNKNOWN";"MUKTSAR";"MUKTSAR"
"1b97981519921c13c29838021096c856";"UNKNOWN";"UNKNOWN";"KHATRA"
"7881083f67d23da18be87813d27acf4f";"UTTAR PRADESH";"ALIGARH";"KHAIR"
"ac74d18665e407a05033053b9f16d119";"MADHYA PRADESH";"SAGAR";"REHLI"
"20cba261146717dfd983a78eb5bc533a";"HARYANA";"PANIPAT";"MADLAUDA"
"9afafe9b99ca1aa024b114abed1111cf";"MADHYA PRADESH";"VIDISHA";"VIDISHA"
"247b257b7566353ed0b45b7a39725c6e";"PUNJAB";"HOSHIARPUR";"UNKNOWN"
"8c26892e8c5dbc4b793cfe4922be9629";"UTTAR PRADESH";"GONDA";"GONDA"
"7a12468a86a29f6c2e548c7e9044218c";"HARYANA";"SIRSA";"SIRSA"
"66a547b65f303a752b3a3d1992dbb4e0";"WEST BENGAL";"UNKNOWN";"RAMPURHAT"
"e3d84689ced6f7e00db589d952fe7bf3";"RAJASTHAN";"UNKNOWN";"RAMGANJMANDI"
"cfbe68195b726da680c0c43d2e524d31";"ANDHRA PRADESH";"MAHBUBNAGAR";"MAHABUBNAGAR(RYTHU BAZAR)"
"592d1715abc78d782c1893be78779e1e";"UTTAR PRADESH";"MAHARAJGANJ";"NAUTNAVA"
"beeffc8dbd678f5d4dfcdc94473befa9";"UNKNOWN";"JALANDHAR";"NOOR MEHAL"
"391f17cff0e5a3516b78a377251bdfda";"HARYANA";"KARNAL";"UNKNOWN"
"63d73a0ff3ade93aa366f6a316054d29";"UTTAR PRADESH";"SAHARANPUR";"DEOBAND"
"6632876a453792c31f51b3c9861a78e3";"MADHYA PRADESH";"NEEMUCH";"NEEMUCH"
"2a29af393ffa0aa0f819851abc6dce6c";"MADHYA PRADESH";"KHANDWA";"PANDHANA"
"a965c279475a184f4423919b8c6aad56";"UNKNOWN";"KOTA";"KOTA (F&V)"
